STATION,NAME,DATE,AWND,PRCP,PSUN,SNOW,SNWD,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-01,4.92,0.00,,0.0,0.0,18,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-02,4.70,0.00,,0.0,0.0,21,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-03,7.61,0.00,,0.0,0.0,20,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-04,13.42,0.00,,0.0,0.0,28,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-05,8.95,0.02,,0.1,0.0,32,1,,,1,,,,,,,,1,,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-06,11.63,0.00,,0.0,0.0,29,1,,,,,,,,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-07,10.74,0.00,,0.0,0.0,22,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-08,12.53,0.00,,0.0,0.0,31,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-09,13.42,0.00,,0.0,0.0,47,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-10,8.95,0.00,,0.0,0.0,39,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-11,10.74,0.00,,0.0,0.0,38,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-12,10.29,0.00,,0.0,0.0,35,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-13,8.72,0.00,,0.0,0.0,33,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-14,9.62,0.03,,0.0,0.0,35,1,,,,,,,,,,,1,1,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-15,13.20,0.00,,0.0,0.0,32,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-16,9.84,0.17,,3.0,3.0,29,1,1,,,,,,,,,,1,,,,,1,,,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-17,9.40,0.00,,0.0,3.0,19,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-18,8.05,0.00,,0.0,2.0,16,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-19,6.04,0.00,,0.0,2.0,20,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-20,10.51,0.00,,0.0,2.0,29,1,,,,,,,,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-21,10.29,0.02,,0.4,1.0,31,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-22,13.65,0.00,,0.0,1.0,44,,,1,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-23,9.62,0.00,,0.0,0.0,42,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-24,9.84,0.00,,0.0,0.0,36,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-25,13.42,0.00,,0.0,0.0,39,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-26,11.86,0.00,,0.0,0.0,44,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-27,13.20,0.00,,0.0,0.0,48,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-28,9.17,0.00,,0.0,0.0,41,,,,,,,,1,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-29,10.29,0.00,,0.0,0.0,34,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-30,10.74,0.34,,4.8,4.0,32,1,,,,,,,1,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-01-31,11.63,0.62,,7.2,11.0,32,1,1,,,,1,,,,,,1,,,1,1,1,,,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-01,13.20,0.01,,0.0,0.0,27,1,,,,,1,,,,,,1,1,,1,1,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-02,9.62,0.00,,0.0,6.0,21,1,,,,,,,,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-03,12.08,0.00,,0.0,5.0,27,1,,,,,,,1,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-04,11.41,0.00,,0.0,5.0,18,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-05,9.40,0.00,,0.0,5.0,20,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-06,7.38,0.00,,0.0,5.0,29,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-07,9.62,0.00,,0.0,5.0,32,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-08,8.05,0.00,,0.0,4.0,36,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-09,10.29,0.00,,0.0,2.0,34,1,,,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-10,13.20,0.09,,0.0,0.0,37,1,,,,,,,,,,,1,,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-11,12.30,0.00,,0.0,0.0,29,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-12,17.90,0.00,,0.0,0.0,35,,,,,,,,,,,,,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-13,7.38,0.00,,0.0,0.0,25,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-14,16.11,0.00,,0.0,0.0,38,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-15,13.87,0.00,,0.0,0.0,39,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-16,14.09,0.00,,0.0,0.0,37,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-17,8.72,0.00,,0.0,0.0,33,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-18,12.97,0.00,,0.0,0.0,38,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-19,12.30,0.44,,0.0,0.0,43,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-20,14.54,0.29,,0.0,0.0,44,1,,,,,,,,,,,1,1,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-21,13.20,0.01,,0.1,0.0,32,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-22,7.16,0.00,,0.0,0.0,30,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-23,10.96,0.00,,0.0,0.0,36,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-24,15.21,0.00,,0.0,0.0,48,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-25,11.63,0.00,,0.0,0.0,42,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-26,14.76,0.12,,1.7,2.0,26,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-27,12.08,0.00,,0.0,1.0,21,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-02-28,10.96,0.00,,0.0,0.0,23,,,,,,,,,,,,,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-01,8.50,0.20,,2.0,0.0,26,1,,,,,,,,,,,1,,,,,1,,,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-02,10.07,1.02,,7.1,6.0,28,1,1,,,,,,,,,,1,1,,1,,1,,,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-03,15.43,0.01,,0.8,6.0,11,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-04,10.74,0.00,,0.3,6.0,6,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-05,6.49,0.00,,0.0,5.0,23,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-06,7.16,0.00,,0.0,5.0,35,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-07,10.07,0.00,,0.0,2.0,36,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-08,16.33,0.23,,0.0,0.0,51,1,,1,,,,,1,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-09,25.50,0.52,,0.0,0.0,42,1,,1,,,,,,,,1,1,,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-10,14.76,0.00,,0.0,0.0,21,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-11,11.41,0.00,,0.0,0.0,33,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-12,5.82,0.00,,0.0,0.0,40,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-13,8.50,0.00,,0.0,0.0,48,1,,,,,,,,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-14,13.42,0.00,,0.0,0.0,50,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-15,14.99,0.01,,0.0,0.0,47,,,,,,,,1,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-16,13.87,0.00,,0.0,0.0,37,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-17,10.51,0.00,,0.0,0.0,38,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-18,8.05,0.00,,0.0,0.0,42,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-19,6.93,0.01,,0.0,0.0,42,1,,,,,,,1,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-20,9.40,0.03,,0.0,0.0,40,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-21,18.57,0.02,,0.1,0.0,28,1,,,,,,,1,,,,1,,,,,1,,,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-22,15.88,0.00,,0.0,0.0,28,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-23,13.20,0.00,,0.0,0.0,39,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-24,15.88,0.00,,0.0,0.0,34,,,,,,,,,,,,,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-25,17.00,0.03,,0.4,0.0,28,1,,,,,,,,,,,1,,,,,1,,,1
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-26,10.96,0.03,,0.5,0.0,32,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-27,6.04,0.00,,0.0,0.0,36,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-28,10.74,0.00,,0.0,0.0,40,1,,,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-29,5.59,0.61,,0.0,0.0,41,1,,,,,,,1,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-30,11.18,0.00,,0.0,0.0,43,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-03-31,9.17,0.01,,0.0,0.0,38,,,,,,,,,,,,,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-01,6.04,0.22,,0.9,0.0,34,1,,,1,,,,,,,,1,1,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-02,12.75,0.02,,0.0,0.0,39,1,,,,,,,1,,,,1,1,,1,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-03,8.50,0.01,,0.0,0.0,35,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-04,5.82,0.02,,0.1,0.0,31,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-05,6.49,0.00,,0.0,0.0,33,1,,,,,,,,,,,1,,,,,1,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-06,7.38,0.00,,0.0,0.0,34,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-07,11.86,0.30,,0.0,0.0,42,1,,,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-08,7.16,0.88,,0.0,0.0,49,1,1,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-09,7.61,0.05,,0.0,0.0,43,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-10,10.74,0.00,,0.0,0.0,49,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-11,12.97,0.00,,0.0,0.0,63,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-12,8.72,0.00,,0.0,0.0,57,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-13,5.59,0.00,,0.0,0.0,52,1,,,,,,,,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-14,10.29,0.00,,0.0,0.0,59,1,,,,,,,1,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-15,13.65,0.00,,0.0,0.0,75,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-16,17.22,0.00,,0.0,0.0,78,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-17,10.29,0.07,,0.0,0.0,75,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-18,14.09,0.04,,0.0,0.0,76,,,1,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-19,13.65,0.19,,0.0,0.0,56,,,1,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-20,17.67,0.04,,0.0,0.0,45,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-21,14.32,0.35,,0.0,0.0,41,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-22,8.28,0.00,,0.0,0.0,40,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-23,8.28,0.00,,0.0,0.0,46,1,,,,,,,,,,,1,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-24,16.11,0.29,,0.0,0.0,58,1,,1,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-25,15.43,0.00,,0.0,0.0,46,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-26,6.93,0.00,,0.0,0.0,45,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-27,13.65,0.51,,0.0,0.0,53,1,,1,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-28,15.66,0.01,,0.0,0.0,50,1,,,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-29,9.40,0.00,,0.0,0.0,51,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-04-30,6.26,0.00,,0.0,0.0,54,,,,,,,,,,,,,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-01,8.95,0.47,,0.0,0.0,53,1,,1,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-02,13.42,0.02,,0.0,0.0,49,1,,,,,,,,,,,1,1,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-03,8.72,0.00,,0.0,0.0,46,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-04,6.49,0.00,,0.0,0.0,52,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-05,10.07,0.00,,0.0,0.0,59,,,,,,,,,,,,,,,,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-06,10.07,0.06,,0.0,0.0,68,1,,,,,,,,,,,1,,,1,,,,,
USW00094846,"CHICAGO OHARE INTERNATIONAL AIRPORT, IL US",2002-05-07,13.42,0.00,,0.0,0.0,56,1,,,,,,,,,,,1,,,,,,,,
