STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-02-25,,0.53,,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-02-26,,0.19,3.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-02-27,,0.00,,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-02-28,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-01,,0.33,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-03,,,0.5,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-04,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-05,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-06,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-07,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-08,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-09,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-10,,0.20,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-11,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-12,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-13,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-14,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-15,,0.21,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-16,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
US1ILDP0018,"DOWNERS GROVE 2.1 SE, IL US",2007-03-17,,0.00,0.0,,,,,,,,,,,,,,,,,,,,,,
